1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,c,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,c,0,0,1
1,0,0,0,2,2,2,2,2,2,2,m,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,
